name,category,price,img_url,url,product_id
Noted Neutrals  Executive Memo Parent 5 X3.5,Stationery,8.0,https://mandcdrugstore.com/files/images/thumbs/0bd56767339e99a030b0e94bfd7d1250.jpg,https://mandcdrugstore.com/products/12994,12994
Junior Artist Unicorns,Stationery,5.0,https://mandcdrugstore.com/files/images/thumbs/0632ed4845407fa8e1c06d9de3d8704e.jpg,https://mandcdrugstore.com/products/13002,13002
Colour Copy Fun S3 Rabbit,Stationery,5.0,https://mandcdrugstore.com/files/images/thumbs/3101b20363a3e34fa28390233573cb1c.jpg,https://mandcdrugstore.com/products/13003,13003
Colour Copy S1 Dog,Stationery,5.0,https://mandcdrugstore.com/files/images/thumbs/71773af934a6c9b19de8ccf4a067a607.jpg,https://mandcdrugstore.com/products/13004,13004
Lands Of Courage,Stationery,14.0,https://mandcdrugstore.com/files/images/thumbs/ec33cb2de9fcdea9a3fa9a82442f7195.jpg,https://mandcdrugstore.com/products/13008,13008
A Jungle Of Worries,Stationery,14.0,https://mandcdrugstore.com/files/images/thumbs/389d8cf9dbaf3819397db0023e2443ae.jpg,https://mandcdrugstore.com/products/13009,13009
The Universe Need To Know Sticker Book,Stationery,13.0,https://mandcdrugstore.com/files/images/thumbs/3456d90ecedad66e28e3497a48834707.jpg,https://mandcdrugstore.com/products/13014,13014
Olay Anti Wrinkle 2 In 1 Cream & Serum 50ml,Cosmetics,40.01,https://mandcdrugstore.com/files/images/thumbs/7782c61b52d04a8df8e5918c24ef574d.jpg,https://mandcdrugstore.com/products/13022,13022
DNR Huggies Swim Small 2-3,Babycare,10.0,https://mandcdrugstore.com/files/images/thumbs/726c1a25c536b1ab50de22b24084b28a.jpg,https://mandcdrugstore.com/products/13029,13029
Clean & Clear Deep Cleansing Lotion 200ml,Toiletries,15.0,https://mandcdrugstore.com/files/images/thumbs/06de6f40da23eb877b424536e405f291.jpg,https://mandcdrugstore.com/products/13031,13031
Wisdom Step By Step Toothpaste 4+ Years 75ml,Toiletries,5.0,https://mandcdrugstore.com/files/images/thumbs/f960ae6371eff6d989ad5c320e4f846b.jpg,https://mandcdrugstore.com/products/13034,13034
Clean & Clear Exfoliating Daily Wash 150ml,Cosmetics,15.0,https://mandcdrugstore.com/files/images/thumbs/8be089989c406490c263319ae86e67bb.jpg,https://mandcdrugstore.com/products/13035,13035
Dream Baby Brush & Comb White 2pc,HAIRCARE,10.0,https://mandcdrugstore.com/files/images/thumbs/35a2644290d3c5181fc012b2f0e4503f.jpg,https://mandcdrugstore.com/products/13037,13037
Aveeno Baby Calming Bath Wash 250ml,Babycare,24.0,https://mandcdrugstore.com/files/images/thumbs/5ad0aafc6c4dc7ee60c07049026330cd.jpg,https://mandcdrugstore.com/products/13038,13038
Clean & Clear Moist Cream Dual 100ml,Toiletries,15.0,https://mandcdrugstore.com/files/images/thumbs/850f228ad9e2661c122916110d695f2c.jpg,https://mandcdrugstore.com/products/13048,13048
Oral B TB Pro Expert Pulsar Twin Medium,Toiletries,40.01,https://mandcdrugstore.com/files/images/thumbs/c1e71fcdb2fc4c745dd567e109f6dfdd.jpg,https://mandcdrugstore.com/products/13049,13049
Simple Micellar Facial Gel 150ml,Cosmetics,15.0,https://mandcdrugstore.com/files/images/thumbs/1a2a1dcd09a28bcab4d3a2d12fe0f778.jpg,https://mandcdrugstore.com/products/13050,13050
Wisdom Xtra Clean Toothbrush Firm 2 count,Toiletries,6.0,https://mandcdrugstore.com/files/images/thumbs/b4e9e5807874fd8ea5211f14e43cec29.jpg,https://mandcdrugstore.com/products/13077,13077
"Omni 5 Subject Notebook 170shts Wide 10.5x8.5""",Stationery,9.0,https://mandcdrugstore.com/files/images/thumbs/5ca041225f99d48458e510bc10a40355.jpg,https://mandcdrugstore.com/products/13089,13089
"GTC 1 Subject Notebook Wide Rule  80shts 10.5x8""",Stationery,4.01,https://mandcdrugstore.com/files/images/thumbs/221f5bf84b243ad67b534f34da7e2a39.jpg,https://mandcdrugstore.com/products/13094,13094
Dooley Boards Mini Magnetic Dry Erase Marker 4ct,Stationery,5.0,https://mandcdrugstore.com/files/images/thumbs/d396972dc9a1da8ecb8c35a9a2f04ddd.jpg,https://mandcdrugstore.com/products/13099,13099
Dooley Boards Corkboard Alum Frame 18x24,Stationery,40.01,https://mandcdrugstore.com/files/images/thumbs/280c93eb6f32240cb9fe0e7ab0baccb4.jpg,https://mandcdrugstore.com/products/13103,13103
Cambridge Writing Pad Ruled 8.5x11 70shts,Stationery,8.0,https://mandcdrugstore.com/files/images/thumbs/788931d0955ac1409447d68eff783af3.jpg,https://mandcdrugstore.com/products/13105,13105
"Pet Bed 21x17"" Assorted",Pet Care,30.0,https://mandcdrugstore.com/files/images/thumbs/ea8649d8069664cc36c4db929043e0cc.jpg,https://mandcdrugstore.com/products/13116,13116
"Puppy Love Dog Collar 20"" Assorted",Pet Care,4.01,https://mandcdrugstore.com/files/images/thumbs/ef2e0a773e64cf5d7fa1c0fb706c4831.jpg,https://mandcdrugstore.com/products/13117,13117
"Dog Collar 17"" Assorted",Pet Care,4.01,https://mandcdrugstore.com/files/images/thumbs/81cf44a924911a7d99df9dc314baf7bb.jpg,https://mandcdrugstore.com/products/13118,13118
"Pet Nail Clipper 2.1"" Assorted",Pet Care,5.0,https://mandcdrugstore.com/files/images/thumbs/236a3cdee2e166d23aac7d3d1e19cd2f.jpg,https://mandcdrugstore.com/products/13122,13122
"Dog Collar 19"" Assorted",Pet Care,6.0,https://mandcdrugstore.com/files/images/thumbs/d42844a6ff5ea4f31632eee4e9d467e5.jpg,https://mandcdrugstore.com/products/13125,13125
Hot Wheel City Town Centre Playset,Toys,150.0,https://mandcdrugstore.com/files/images/thumbs/6f8a9a4d6eda8debd671f4a934f465a9.jpg,https://mandcdrugstore.com/products/13129,13129
Hot Wheels Track Bulider Multiloop Playset 10ft,Toys,175.01,https://mandcdrugstore.com/files/images/thumbs/812b9c09edc4e0af8aca1eb371753622.jpg,https://mandcdrugstore.com/products/13131,13131
Hot Wheels Multi Lane Track Builder Playset,Toys,175.01,https://mandcdrugstore.com/files/images/thumbs/86d4fec07569f7d71f3f8a10ef5cfbc7.jpg,https://mandcdrugstore.com/products/13132,13132
Hot Wheels Classic Stunt Assorted,Toys,75.0,https://mandcdrugstore.com/files/images/thumbs/7c764b0a15868124af766c1cf5c7dc3c.jpg,https://mandcdrugstore.com/products/13135,13135
Scunci For Fine Hair 10 pieces,HAIRCARE,2.0,https://mandcdrugstore.com/files/images/thumbs/d57a7e7952133dc3195a8814355a348d.jpg,https://mandcdrugstore.com/products/13143,13143
Scunci Velvet Scrunchie 2 pieces,HAIRCARE,5.0,https://mandcdrugstore.com/files/images/thumbs/d409d58240b2f9c4505a2cc28fc5a41a.jpg,https://mandcdrugstore.com/products/13157,13157
Scunci Elite Jumbo So Edgy,HAIRCARE,0.99,https://mandcdrugstore.com/files/images/thumbs/63e0f6478ff083fce73c73eb698467f1.jpg,https://mandcdrugstore.com/products/13166,13166
Pacific Blue Premium One Ply Disposable Delicate Task Wipe 280 Ct,Household,3.0,https://mandcdrugstore.com/files/images/thumbs/b8f7043cdf8e47c5ad315266765a82d9.jpg,https://mandcdrugstore.com/products/13179,13179
Better Home Fitted Peva Mattres Cover Queen 1 count,Household,5.0,https://mandcdrugstore.com/files/images/thumbs/bcd6787679e7e023e6838e140c2a8991.jpg,https://mandcdrugstore.com/products/13185,13185
Home Smart Disposable Dampfree Moisture Absorber 7.7oz,Household,6.0,https://mandcdrugstore.com/files/images/thumbs/4ac5c3d0503e6f105bed05910ab40a6a.jpg,https://mandcdrugstore.com/products/13213,13213
Coastal Scents Bamboo Flat Buffer Brush Elite 1 piece,Cosmetics,10.0,https://mandcdrugstore.com/files/images/thumbs/7809c61f25fe800d0177c2c3176047fd.jpg,https://mandcdrugstore.com/products/13219,13219
Maybelline Color Tattoo Eye Chrome Shadow Bronze Sheen 0.11oz,Cosmetics,3.0,https://mandcdrugstore.com/files/images/thumbs/64d41da23456a315e6a6d58651d8fc57.jpg,https://mandcdrugstore.com/products/13226,13226
The Wax Shop Overhaul 1000 Heavy Cut Compound 32oz,Household,5.0,https://mandcdrugstore.com/files/images/thumbs/5de865b86c08bdbf87c3e548878dcb31.jpg,https://mandcdrugstore.com/products/13260,13260
Shell Earrings Assorted,Gift Centre,8.0,https://mandcdrugstore.com/files/images/thumbs/22ed1a5c0c81a86fecfdb57f8b7512a3.jpg,https://mandcdrugstore.com/products/13308,13308
