name,price,category,ul,img
Eve Vienna Sausages 140G,$3.00,grocery-food,https://www.shopmassystoresslu.com/product/eve-vienna-sausage-140g/,https://www.shopmassystoresslu.com/wp-content/uploads/0008143323203-1.jpg
Mp Baked Beans In Tomato Sauce 454G,$6.70,grocery-food,https://www.shopmassystoresslu.com/product/baked-beans-3/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0003649404603.png.jpg
Fruta Guava Pineapple 1L,$7.99,grocery-food,https://www.shopmassystoresslu.com/product/juice-drink-guava-pineapple-2/,https://www.shopmassystoresslu.com/wp-content/uploads/0003361311068.jpg
Milo Activ Go Soft Pack 400G,$11.15$9.50,grocery-food,https://www.shopmassystoresslu.com/product/milo-activ-go-soft-pack-400g/,https://www.shopmassystoresslu.com/wp-content/uploads/0955600119189.jpg
Dutch Lady Filled Milk 169G,$1.51,grocery-food,https://www.shopmassystoresslu.com/product/dutch-lady-fill-mlk-tea-coffee-169g/,https://www.shopmassystoresslu.com/wp-content/uploads/0871620045485.jpg
Fernleaf Sachet 400G,$14.12,grocery-food,https://www.shopmassystoresslu.com/product/fernleaf-milk-powder-sachet/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0941500700733.jpg
Mahatma Jasmine Rice 907G,$12.35,grocery-food,https://www.shopmassystoresslu.com/product/mahatma-rice-jasmine-2lb/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0001740010695.jpg
Tenderoni Small Elbow 300G,$3.99,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-small-elbows-300g-300g/,https://www.shopmassystoresslu.com/wp-content/uploads/0049990100045.jpg
Iga Cereal Corn Flakes 510G,$12.40 Original price was: $12.40.$9.99Current price is: $9.99.,grocery-food,https://www.shopmassystoresslu.com/product/iga-cereal-corn-flakes-510g/,https://www.shopmassystoresslu.com/wp-content/uploads/0004127081356.jpg
Maggi Soup It Up Cock Soup 50G,$3.00$2.65,grocery-food,https://www.shopmassystoresslu.com/product/maggi-soup-it-up-cock-soup-50g/,https://www.shopmassystoresslu.com/wp-content/uploads/0746012342030.jpeg
Valrico Red Kidney Beans 425G,$5.99,grocery-food,https://www.shopmassystoresslu.com/product/red-kidney-beans-4/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0003834411115.jpg
Sunshine Cornflakes 510G,$11.95,grocery-food,https://www.shopmassystoresslu.com/product/corn-flakes-10/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0004003230004.jpg
Orchard Orange Drink 200ML,$1.80,grocery-food,https://www.shopmassystoresslu.com/product/drink-orange-200ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0001887172201.jpg
Grace Corned Beef 198G,$9.89,grocery-food,https://www.shopmassystoresslu.com/product/grace-corned-beef-3/,https://www.shopmassystoresslu.com/wp-content/uploads/0005527096111-1.jpg
Orchard Apple Drink 200ML,$1.80,grocery-food,https://www.shopmassystoresslu.com/product/drink-apple-3/,https://www.shopmassystoresslu.com/wp-content/uploads/0001887172300.jpg
Waitrose Skimmed Uht Milk 1L,$9.98,grocery-food,https://www.shopmassystoresslu.com/product/wr-skimm-uht-milk-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0500016901945.jpg
Par Excellenc Parboil Rice 4KG,$18.42,grocery-food,https://www.shopmassystoresslu.com/product/par-excellenc-parboil-rice-4kg/,https://www.shopmassystoresslu.com/wp-content/uploads/0060114987654.jpg
Blue Waters Purified Water 18.9L,$22.50,grocery-food,https://www.shopmassystoresslu.com/product/blue-waters-purified-water-5gal/,https://www.shopmassystoresslu.com/wp-content/uploads/0000100360204.jpg
Bencopeak Redkidney Bean 454G,$7.28,grocery-food,https://www.shopmassystoresslu.com/product/bencopeak-redkidney-bean-454g/,https://www.shopmassystoresslu.com/wp-content/uploads/0007118710107.jpg
Bruns Tuna Fish 142G,$5.50,grocery-food,https://www.shopmassystoresslu.com/product/brunswick-chunk-tuna-oil-2/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0006661333102.jpg
Icy Kola Champagne Soft Drink 500ML,$2.30,grocery-food,https://www.shopmassystoresslu.com/product/icy-kola-champagne-500ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0066163517027.jpeg
Pinehill Mango Juice 1L,$8.50,grocery-food,https://www.shopmassystoresslu.com/product/pinehill-mango-ju-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0073755102550.jpg
Grace Mackerel In Tomato Sauce 155G,$2.91,grocery-food,https://www.shopmassystoresslu.com/product/grace-mackerel-in-tomato-sauce-155g/,https://www.shopmassystoresslu.com/wp-content/uploads/0005527096112.jpg
Grace Mackerel Chunky 425G,$8.95,grocery-food,https://www.shopmassystoresslu.com/product/mackerel-in-tomato-sauce-chunky/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/04/0005527096224.jpg
Mags Coconut Oil 2L,$45.85,grocery-food,https://www.shopmassystoresslu.com/product/mags-coconut-oil-2l/,https://www.shopmassystoresslu.com/wp-content/uploads/0005019611097-1.jpg
Nescafe Classic Coffee 50G,$14.75,grocery-food,https://www.shopmassystoresslu.com/product/nescafe-coffee-instant-classic-2/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/02/0789100031270.jpg
Del Monte Cream Style Golden Corn 418G,$9.99,grocery-food,https://www.shopmassystoresslu.com/product/sweet-corn-cream-style/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0002400016301.jpg
Valrico Corned Beef 340G,$10.89,grocery-food,https://www.shopmassystoresslu.com/product/valrico-corned-beef-340g/,https://www.shopmassystoresslu.com/wp-content/uploads/0003834415612.jpg
Grace Coconut Milk Lite 400ML,$8.95,grocery-food,https://www.shopmassystoresslu.com/product/grace-coconut-milk-can-2/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/10/0005527085132.jpg
Valrico Mixed Vegetables 425G,$6.75,grocery-food,https://www.shopmassystoresslu.com/product/mixed-vegetables-13/,https://www.shopmassystoresslu.com/wp-content/uploads/0003834410050.jpg
Fernleaf Instant Milk Powder 800G,$24.20,grocery-food,https://www.shopmassystoresslu.com/product/fernleaf-instant-milk-powder-800g/,https://www.shopmassystoresslu.com/wp-content/uploads/671303772457.jpg
Elle & Vire Whole Milk Uht Bottle 1L,$6.62,grocery-food,https://www.shopmassystoresslu.com/product/ev-whole-milk-uht-btl-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0345179083307.jpg
Whiteways Peardrax 330ML,$4.00,grocery-food,https://www.shopmassystoresslu.com/product/whiteways-peardrax-300ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0073436202888.jpg
Quaker Oats Gluten Free 510G,$23.56,grocery-food,https://www.shopmassystoresslu.com/product/quaker-iqo-glu-free-qck-510g/,https://www.shopmassystoresslu.com/wp-content/uploads/0003000032256-1.jpg
Orchard Fruit Punch 1L,$7.95,grocery-food,https://www.shopmassystoresslu.com/product/orchard-fruit-punch-1lt/,https://www.shopmassystoresslu.com/wp-content/uploads/0001887114300.jpg
Gatorade Orang Wide Mt 561ML,$9.95,grocery-food,https://www.shopmassystoresslu.com/product/orange-3/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/03/0005200032867.jpg
Maggi Season Up All Purpos 10G,$0.99,grocery-food,https://www.shopmassystoresslu.com/product/maggi-season-up-all-purpos-10g/,https://www.shopmassystoresslu.com/wp-content/uploads/0746012343000.jpg
Maggi Season Up Chicken 200G,$7.70$6.92,grocery-food,https://www.shopmassystoresslu.com/product/maggi-season-up-chicken-200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0746012343110.jpg
Baron Iodized Salt 454G,$2.11,grocery-food,https://www.shopmassystoresslu.com/product/baron-salt-453g/,https://www.shopmassystoresslu.com/wp-content/uploads/0073355362104-scaled.jpg
Baron White Vinegar 940ML,$7.21,grocery-food,https://www.shopmassystoresslu.com/product/baron-white-vinegar-940ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0073355318232.jpg
Maggi Cubes Chicken 100G,$5.29,grocery-food,https://www.shopmassystoresslu.com/product/maggi-cubes-chicken-100g/,https://www.shopmassystoresslu.com/wp-content/uploads/0002800034770.jpg
Grace Sardines Tomato Sauce 155G,$3.60,grocery-food,https://www.shopmassystoresslu.com/product/grace-sardines-tomato-sauce-155g/,https://www.shopmassystoresslu.com/wp-content/uploads/0005527096275.jpg
Orchard Pineapple Juice 1L,$8.95,grocery-food,https://www.shopmassystoresslu.com/product/orchard-pineapple-juice-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0001887114000.jpg
Badia Seasoning Complete 99G,$7.99,grocery-food,https://www.shopmassystoresslu.com/product/seasoning-complete/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/03/3384400008.jpg
Maison Pasta Twist 400G,$3.56,grocery-food,https://www.shopmassystoresslu.com/product/maison-pasta-twist-400g/,https://www.shopmassystoresslu.com/wp-content/uploads/0060803631504.jpg
Capri-Sun Berry Cooler 200ML,$1.50,grocery-food,https://www.shopmassystoresslu.com/product/caprisun-berry-cooler-single-200-ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0005527096052.jpg
Vigo Basmati Rice 908G,$17.65,grocery-food,https://www.shopmassystoresslu.com/product/vigo-basmati-rice-5/,https://www.shopmassystoresslu.com/wp-content/uploads/0007107203021.jpg
Silk Soy Milk Unsweetened 946ML,$19.99,grocery-food,https://www.shopmassystoresslu.com/product/organic-soymilk-unsweetened/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0002529360089.jpg
Betty Crocker Complete Buttermilk Pancake 191G,$5.99,grocery-food,https://www.shopmassystoresslu.com/product/bet-crock-pancake-mix-buttermilk-6-75-oz/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0001600015760.jpg
Tenderoni Shell 300G,$3.99,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-plain-shell-300g/,https://www.shopmassystoresslu.com/wp-content/uploads/0049990100046.jpg
Catelli Ketchup Econopak 750ML,$5.29,grocery-food,https://www.shopmassystoresslu.com/product/ketchup-tomato-econopack/,https://www.shopmassystoresslu.com/wp-content/uploads/0078107908147.jpg
